lambdamic,ePphoton
10.0688,2.08E-4
10.0884,1.88E-4
10.108,1.45E-4
10.1278,1.6E-4
10.1476,2.33E-4
10.1675,2.89E-4
10.1875,2.64E-4
10.2075,1.82E-4
10.2277,8.8E-5
10.2479,4.7E-5
10.2682,1.14E-4
10.2885,2.13E-4
10.309,2.45E-4
10.3295,2.14E-4
10.3501,1.96E-4
10.3708,2.02E-4
10.3916,2.3E-4
10.4125,2.73E-4
10.4334,2.71E-4
10.4545,2.59E-4
10.4756,2.52E-4
10.4968,1.9E-4
